name;vicinity;geometry;place_id;rating;user_ratings_total;formatted_phone_number;website;Colonna1;Colonna2;Email
CASA;via Umbria, 1, Stazione Montalto-coretto;{'location': {'lat': 39.4067602, 'lng': 16.245133}, 'viewport': {'northeast': {'lat': 39.40805883029149, 'lng': 16.2464745802915}, 'southwest': {'lat': 39.4053608697085, 'lng': 16.2437766197085}}};ChIJWats4GWfPxMRuRMb0KWNkmc;;;;;1;2483;x
"Casa ""San Gaspare"" - Famiglia Bertoniana - Comunità Stimmatina";Via Napoli, 378/d, Bari;{'location': {'lat': 41.14071799999999, 'lng': 16.8021298}, 'viewport': {'northeast': {'lat': 41.1420903802915, 'lng': 16.8034433802915}, 'southwest': {'lat': 41.1393924197085, 'lng': 16.80074541970849}}};ChIJjXO6wkTvRxMRNXq7PLC4qxk;46;11;080 864 1108;;1;2483;x
Casa & Bottega Apartments;Via Labonia, 15;{'location': {'lat': 39.575195, 'lng': 16.634015}, 'viewport': {'northeast': {'lat': 39.5765384302915, 'lng': 16.6353666802915}, 'southwest': {'lat': 39.5738404697085, 'lng': 16.63266871970849}}};ChIJv7z_r7eFQBMRqBZk5bIfE6k;49;9;339 378 4062;;1;2483;x
Casa 2 Ma.Ri;Via Trasconi Chiancone, 17, Martina Franca;{'location': {'lat': 40.67727439999999, 'lng': 17.2731435}, 'viewport': {'northeast': {'lat': 40.67857388029149, 'lng': 17.2744370802915}, 'southwest': {'lat': 40.6758759197085, 'lng': 17.2717391197085}}};ChIJe6azFFarRxMROrLq2X-kRaQ;;;347 500 5438;;1;2483;x
Casa 3 Carrubi;Unnamed Road, 75015, Pisticci;{'location': {'lat': 40.3802293, 'lng': 16.586915}, 'viewport': {'northeast': {'lat': 40.38164173029151, 'lng': 16.5883319302915}, 'southwest': {'lat': 40.37894376970851, 'lng': 16.5856339697085}}};ChIJyQ-FBC1fRxMR8cTXMVLenE0;5;2;;;1;2483;x
Casa Acacia;Loc. Palombara, Salve 73050;{'location': {'lat': 39.8558267, 'lng': 18.2440509}, 'viewport': {'northeast': {'lat': 39.8573111302915, 'lng': 18.2457262802915}, 'southwest': {'lat': 39.8546131697085, 'lng': 18.2430283197085}}};ChIJv-hZ-XsIRBMRmGg0BnCGLrk;5;5;320 053 9249;;1;2483;x
CASA ADA;Viale Virgilio, 11, Marina di Ginosa;{'location': {'lat': 40.4307895, 'lng': 16.8902891}, 'viewport': {'northeast': {'lat': 40.43209648029149, 'lng': 16.8916921302915}, 'southwest': {'lat': 40.4293985197085, 'lng': 16.8889941697085}}};ChIJySTBWRptRxMRfuxD3fXLbvE;;;;http://www.labella-puglia.it/casa-ada/;FALSO;2483;x
Casa Agrumeto;Via Vecchia Mesagne, Latiano;{'location': {'lat': 40.5536633, 'lng': 17.7229351}, 'viewport': {'northeast': {'lat': 40.5550195802915, 'lng': 17.7242782802915}, 'southwest': {'lat': 40.5523216197085, 'lng': 17.7215803197085}}};ChIJ4VOcdRhhRhMRp2UNI6C0tOQ;;;348 594 7080;;1;2483;x
Casa Al Mare;Unnamed Road, 87020, San Nicola Arcella;{'location': {'lat': 39.841047, 'lng': 15.778449}, 'viewport': {'northeast': {'lat': 39.8423985302915, 'lng': 15.7797941802915}, 'southwest': {'lat': 39.8397005697085, 'lng': 15.7770962197085}}};ChIJwbviAHbhPhMRUKwH0tPo9u0;5;2;;;1;2483;x
Casa al Porto;Salita, Pendio San Matteo, 13, Bisceglie;{'location': {'lat': 41.2425419, 'lng': 16.5052923}, 'viewport': {'northeast': {'lat': 41.2438908802915, 'lng': 16.5066232802915}, 'southwest': {'lat': 41.2411929197085, 'lng': 16.5039253197085}}};ChIJc-jggA4HOBMRlzKtST6PV6Q;4;4;328 811 9041;;1;2483;x
Casa al Sole;Vicolo Gioacchino Rossini, 15, Serrano;{'location': {'lat': 40.1826228, 'lng': 18.3537121}, 'viewport': {'northeast': {'lat': 40.1839673802915, 'lng': 18.3550862302915}, 'southwest': {'lat': 40.1812694197085, 'lng': 18.3523882697085}}};ChIJb7DArb8-RBMRm8hnTSE477k;4;1;334 995 4241;;1;2483;x
Casa Alessia;Via Roma, 22, Santa Domenica;{'location': {'lat': 38.66450409999999, 'lng': 15.8671696}, 'viewport': {'northeast': {'lat': 38.66582958029149, 'lng': 15.8685299302915}, 'southwest': {'lat': 38.6631316197085, 'lng': 15.8658319697085}}};ChIJRUiq1Ld2FRMRm2Xw7lEq-_Q;;;340 461 2886;;1;2483;x
Casa Alexandr Grillo;Via riviera prengi ,quarta deviazione, n.6, Pizzo;{'location': {'lat': 38.74581500000001, 'lng': 16.1799221}, 'viewport': {'northeast': {'lat': 38.74711453029151, 'lng': 16.1813077802915}, 'southwest': {'lat': 38.74441656970851, 'lng': 16.1786098197085}}};ChIJV6PGV9BdFRMRwzCAtIzmGPk;;;348 428 9918;;1;2483;x
Casa Alexandr Piedigrotta;Via Riviera Prangi, 3 traversa, Pizzo;{'location': {'lat': 38.7429104, 'lng': 16.1761698}, 'viewport': {'northeast': {'lat': 38.74419453029149, 'lng': 16.1775902302915}, 'southwest': {'lat': 38.7414965697085, 'lng': 16.1748922697085}}};ChIJubvuPB1dFRMRCsd_XQ4PVic;;;348 428 9918;;1;2483;x
Casa Amoroso;SP109, 10B, Santo Stefano del Sole;{'location': {'lat': 40.8913728, 'lng': 14.8674105}, 'viewport': {'northeast': {'lat': 40.8927032302915, 'lng': 14.8688293302915}, 'southwest': {'lat': 40.8900052697085, 'lng': 14.8661313697085}}};ChIJDwxGoazTOxMR4V5yi5OlOkI;5;1;;;1;2483;x
Casa Angela;Via Libertini, 7, Sannicola;{'location': {'lat': 40.08597339999999, 'lng': 18.055779}, 'viewport': {'northeast': {'lat': 40.08730438029149, 'lng': 18.0571316802915}, 'southwest': {'lat': 40.0846064197085, 'lng': 18.05443371970849}}};ChIJd98N3U4dRBMRe8mVBYi-X_0;4;1;328 114 5577;;1;2483;x
Casa Angelica / Casa Margherita;Via Giovanni Bovio, 20-22, Ostuni;{'location': {'lat': 40.7309096, 'lng': 17.5745755}, 'viewport': {'northeast': {'lat': 40.7322597302915, 'lng': 17.5758983802915}, 'southwest': {'lat': 40.7295617697085, 'lng': 17.5732004197085}}};ChIJVT5RxpZDRhMRYUt-GMAIXdA;41;15;334 216 0638;https://www.booking.com/hotel/it/angelica-ostuni.it.html?type=total&logged_out=1&group_adults=2&sb_price_type=total&no_rooms=1&group_children=0&label=gen173nr-1DCAsocUIPYW5nZWxpY2Etb3N0dW5pSBRYBGhxiAEBmAEUuAEYyAEM2AED6AEB-AEDiAIBqAIEuAKqmpaWBsACAdICJDMxMjgwYmFjLTA3NDUtNGE5Zi1hZTEwLWRiODhhMmMxYjE0M9gCBOACAQ&room1=A%2CA&sid=55ff3591e389b5de8b346ff49e173a4a;FALSO;2483;x
Casa Angelina Affitti per brevi periodi;Via Pietro Nenni, 6A, Monopoli;{'location': {'lat': 40.9505134, 'lng': 17.2943237}, 'viewport': {'northeast': {'lat': 40.9518707302915, 'lng': 17.2957015302915}, 'southwest': {'lat': 40.9491727697085, 'lng': 17.2930035697085}}};ChIJTUNRASQ1RhMR8XFb1IGheeY;49;11;368 742 8793;https://pavelrecommends.eu/casa-angelina-monopoli-italy;FALSO;2483;x
Casa Antonia;C.da lo Mestro, Mesagne;{'location': {'lat': 40.5560319, 'lng': 17.7334537}, 'viewport': {'northeast': {'lat': 40.5574240302915, 'lng': 17.7349675802915}, 'southwest': {'lat': 40.5547260697085, 'lng': 17.7322696197085}}};ChIJ9axfnaNjRhMReFIODu5XNds;48;9;344 101 5585;;1;2483;x
Casa Apuliae B&b;Piazza Cattedrale, 23, Bitonto;{'location': {'lat': 41.10621, 'lng': 16.6890111}, 'viewport': {'northeast': {'lat': 41.10763428029151, 'lng': 16.6904628802915}, 'southwest': {'lat': 41.10493631970851, 'lng': 16.6877649197085}}};ChIJjUM5pKjxRxMRPIZ5KmkOlJQ;5;9;347 048 5464;http://www.casapuliae.it/;FALSO;2483;x
Casa Armonica;Corso Vittorio Emanuele, 10, Gravina in Puglia;{'location': {'lat': 40.81604249999999, 'lng': 16.415978}, 'viewport': {'northeast': {'lat': 40.8174366802915, 'lng': 16.4173050302915}, 'southwest': {'lat': 40.8147387197085, 'lng': 16.4146070697085}}};ChIJSe7JWHV8OBMRJpg_lZECjTw;;;;;1;2483;x
Casa Baldassarre;Via Domenico Cotugno, 1, Ostuni;{'location': {'lat': 40.73131, 'lng': 17.57922}, 'viewport': {'northeast': {'lat': 40.73266643029149, 'lng': 17.5805991802915}, 'southwest': {'lat': 40.7299684697085, 'lng': 17.5779012197085}}};ChIJe998nVlDRhMRQ-d3SgThLWE;46;23;329 010 6248;http://www.casabaldassarre.it/;FALSO;2483;info@casabaldassarre.it
Casa Bates Antonacci;Parco Scizzo, 18, Parco Scizzo-parchitello;{'location': {'lat': 41.0831917, 'lng': 16.9919826}, 'viewport': {'northeast': {'lat': 41.0844776302915, 'lng': 16.9932818302915}, 'southwest': {'lat': 41.0817796697085, 'lng': 16.9905838697085}}};ChIJRXOQdZ3DRxMRaruG2Vvka2E;4;6;;;1;2483;x
Casa Beddhra Gallipoli;Via Roncella, 8, Gallipoli;{'location': {'lat': 40.055703, 'lng': 17.976538}, 'viewport': {'northeast': {'lat': 40.05704823029149, 'lng': 17.9778724802915}, 'southwest': {'lat': 40.05435026970849, 'lng': 17.9751745197085}}};ChIJgcTZPeOnRhMRpZb0v3X9z40;5;2;391 163 6871;https://casa-beddhra.italyhotelguide.top/;FALSO;2483;x
Casa Bella Vista;Corso Annibale, 96, Torre San Giovanni;{'location': {'lat': 39.8911493, 'lng': 18.1093118}, 'viewport': {'northeast': {'lat': 39.89239498029149, 'lng': 18.11063298029151}, 'southwest': {'lat': 39.88969701970849, 'lng': 18.1079350197085}}};ChIJATmH5RoBRBMROdpIpZ8G2L0;5;1;328 553 9400;;1;2483;x
Casa Bellisario;Via Abruzzo - Molise, 17, Santeramo In Colle;{'location': {'lat': 40.7912053, 'lng': 16.7713357}, 'viewport': {'northeast': {'lat': 40.7925678302915, 'lng': 16.7725728802915}, 'southwest': {'lat': 40.7898698697085, 'lng': 16.7698749197085}}};ChIJH_5hRsybRxMRzcHltXzexXQ;;;;;1;2483;x
Casa Berto Capo Vaticano Villas;Viale Giuseppe Berto, Ricadi;{'location': {'lat': 38.62035400000001, 'lng': 15.830522}, 'viewport': {'northeast': {'lat': 38.62170813029149, 'lng': 15.8318641302915}, 'southwest': {'lat': 38.6190101697085, 'lng': 15.8291661697085}}};ChIJe_6xSU10FRMRBz8Wy4GwBZQ;48;53;345 019 1327;http://www.capovaticanoville.com/;FALSO;2483;reservation@capovaticanoville.com
Casa Bianca;C.da.Corvetta, 72017, Ostuni;{'location': {'lat': 40.7099811, 'lng': 17.5839635}, 'viewport': {'northeast': {'lat': 40.7113597802915, 'lng': 17.5851502802915}, 'southwest': {'lat': 40.7086618197085, 'lng': 17.5824523197085}}};ChIJUUuSTzNdRhMRC-kZzJLu5jo;5;1;338 842 9572;;1;2483;x
Casa Bianca bnb. Big Terrace! 10min Airport, Beach;Vico Filippo Massarenghi, 17, Bitonto;{'location': {'lat': 41.1063115, 'lng': 16.6885694}, 'viewport': {'northeast': {'lat': 41.1077966302915, 'lng': 16.6900891302915}, 'southwest': {'lat': 41.1050986697085, 'lng': 16.68739116970849}}};ChIJoXDOKj_xRxMRwmnl4IAZDxs;5;4;391 734 5909;https://iltuobnbinpuglia.kross.travel/bitonto/casa-bianca-bnb?kross_cache=1;FALSO;2483;x
Casa Birmano B&B;Via Rimorchiatori, 1 /a, Taranto;{'location': {'lat': 40.4039427, 'lng': 17.2355345}, 'viewport': {'northeast': {'lat': 40.4053827802915, 'lng': 17.2369087802915}, 'southwest': {'lat': 40.4026848197085, 'lng': 17.2342108197085}}};ChIJu6RSUK4dRxMRbwhj6-aWG0A;37;3;389 652 3109;;1;2483;x
Casa Bjorn;SS522, 29, Stazione di Zambrone;{'location': {'lat': 38.7118366, 'lng': 15.9765225}, 'viewport': {'northeast': {'lat': 38.71320533029151, 'lng': 15.9778261802915}, 'southwest': {'lat': 38.71050736970851, 'lng': 15.9751282197085}}};ChIJCZULDlZlFRMR9BQWFl7yisI;;;963255801;;1;2483;x
Casa BORGO Regina Bed and Breakfast;Via Scizzo, 87 Contrada Scizzo Borgo Regina 87, Noicattaro;{'location': {'lat': 41.0740662, 'lng': 16.9831224}, 'viewport': {'northeast': {'lat': 41.07541078029149, 'lng': 16.9844822802915}, 'southwest': {'lat': 41.07271281970849, 'lng': 16.9817843197085}}};ChIJ7fMJw5nDRxMRlvz-4SlaFR4;43;68;348 911 9447;http://www.casaborgoregina.it/;FALSO;2483;x
Casa Branca;Piazza San Michele, 5, Castrignano del Capo;{'location': {'lat': 39.83342349999999, 'lng': 18.348844}, 'viewport': {'northeast': {'lat': 39.8347439802915, 'lng': 18.3501921302915}, 'southwest': {'lat': 39.8320460197085, 'lng': 18.3474941697085}}};ChIJr484bToKRBMR9U4SnaJ24cA;47;29;334 989 6621;;1;2483;x
Casa Calabria;Via delle Libellule, 40, Santa Maria del Cedro;{'location': {'lat': 39.7459693, 'lng': 15.8120106}, 'viewport': {'northeast': {'lat': 39.74731008029151, 'lng': 15.8133690802915}, 'southwest': {'lat': 39.74461211970851, 'lng': 15.8106711197085}}};ChIJK8y4pXIdPxMRNcEZjcWp-04;5;2;;;1;2483;x
Casa Calasso B&B;Via Giorgio Castriota 136, Calimera;{'location': {'lat': 40.2474834, 'lng': 18.2754125}, 'viewport': {'northeast': {'lat': 40.2488503802915, 'lng': 18.2767501802915}, 'southwest': {'lat': 40.2461524197085, 'lng': 18.2740522197085}}};ChIJBR9vkwM7RBMRXdqHkJj28GU;44;11;368 343 7195;;1;2483;x
Casa Calieri;Via Pietro Ruffo di Calabria, 53, Tropea;{'location': {'lat': 38.6754202, 'lng': 15.897349}, 'viewport': {'northeast': {'lat': 38.6767690302915, 'lng': 15.89863338029151}, 'southwest': {'lat': 38.6740710697085, 'lng': 15.8959354197085}}};ChIJlQJakCFxFRMRwXsuWEs6eRE;41;63;380 757 1954;https://www.tropea.biz/casacalieri;FALSO;2483;x
Casa Calo’;Via Maggiore Calò, 6, Bisceglie;{'location': {'lat': 41.2378297, 'lng': 16.5057033}, 'viewport': {'northeast': {'lat': 41.23918958029151, 'lng': 16.5071394802915}, 'southwest': {'lat': 41.23649161970851, 'lng': 16.5044415197085}}};ChIJS0en1gsHOBMRvRG0OYmZb0I;5;21;349 450 6146;;1;2483;x
Casa Camicia 102;Via Pasquale Camicia, 102, Monopoli;{'location': {'lat': 40.9561279, 'lng': 17.2967339}, 'viewport': {'northeast': {'lat': 40.9574953802915, 'lng': 17.2981364802915}, 'southwest': {'lat': 40.9547974197085, 'lng': 17.2954385197085}}};ChIJKZTiZCk1RhMRPkKWLwMXRbM;48;18;329 202 9104;https://fernandostraveltips.com/casa-camicia-102-italy;FALSO;2483;x
Casa Campodorato;c.da Campodorato Soprana 60, Nocera Terinese;{'location': {'lat': 39.0212843, 'lng': 16.1536977}, 'viewport': {'northeast': {'lat': 39.0226413802915, 'lng': 16.1551139302915}, 'southwest': {'lat': 39.0199434197085, 'lng': 16.1524159697085}}};ChIJoTbBxLjDPxMROUm2M-5q7m0;43;4;340 487 5564;;1;2483;x
Casa Cappellini;Via A. Cappellini, Torre San Giovanni;{'location': {'lat': 39.8995182, 'lng': 18.1013115}, 'viewport': {'northeast': {'lat': 39.9008947302915, 'lng': 18.1027057302915}, 'southwest': {'lat': 39.89819676970851, 'lng': 18.1000077697085}}};ChIJfal_-AsBRBMR9OPtkHB-7rg;;;;;1;2483;x
Casa Carla Leuca Salento;Santa Maria di Leuca;{'location': {'lat': 39.80451999999999, 'lng': 18.3487143}, 'viewport': {'northeast': {'lat': 39.80599868029149, 'lng': 18.3499800302915}, 'southwest': {'lat': 39.8033007197085, 'lng': 18.3472820697085}}};ChIJE2fStm0LRBMRE7RzElWwTOI;;;;;1;2483;x
Casa Cassano Tundis;Strada Statale 18 Tirrena Inferiore, 103, Paola;{'location': {'lat': 39.3484663, 'lng': 16.0445361}, 'viewport': {'northeast': {'lat': 39.3498294302915, 'lng': 16.0458104802915}, 'southwest': {'lat': 39.3471314697085, 'lng': 16.0431125197085}}};ChIJsWtG08G7PxMRiaJbqykGlek;;;;;1;2483;x
Casa castello;Via Federico Svevo, 29, Rocca Imperiale;{'location': {'lat': 40.1090797, 'lng': 16.5782837}, 'viewport': {'northeast': {'lat': 40.1104281302915, 'lng': 16.5796376302915}, 'southwest': {'lat': 40.1077301697085, 'lng': 16.5769396697085}}};ChIJ32wyJQNVRxMRQlhtqL4DgPs;47;95;388 899 8407;;1;2483;x
Casa Catalano;Viale Roma, 57, Terlizzi;{'location': {'lat': 41.1304326, 'lng': 16.549177}, 'viewport': {'northeast': {'lat': 41.1317239802915, 'lng': 16.5505245302915}, 'southwest': {'lat': 41.1290260197085, 'lng': 16.5478265697085}}};ChIJ__9T0Rf2RxMRUF-BThKxRjY;43;7;342 065 1587;;1;2483;x
Casa Celeste;Parco punta Dino, Via del Telegrafo, San Nicola Arcella;{'location': {'lat': 39.8341876, 'lng': 15.7754395}, 'viewport': {'northeast': {'lat': 39.83554523029149, 'lng': 15.7767527802915}, 'southwest': {'lat': 39.83284726970849, 'lng': 15.7740548197085}}};ChIJWYGZkUXhPhMRjEFbMmTEyHU;5;3;340 694 4817;;1;2483;x
Casa Celestina;Via Panoramica, 30/A, Diamante;{'location': {'lat': 39.6897499, 'lng': 15.8257792}, 'viewport': {'northeast': {'lat': 39.69139023029151, 'lng': 15.8274446802915}, 'southwest': {'lat': 39.68869226970851, 'lng': 15.8247467197085}}};ChIJeZQE4wEDPxMRhNGjIcxhaRA;;;;;1;2483;x
Casa Ciclamino;Via Mirante, Maruggio;{'location': {'lat': 40.30973669999999, 'lng': 17.5818531}, 'viewport': {'northeast': {'lat': 40.3110976802915, 'lng': 17.5832523302915}, 'southwest': {'lat': 40.3083997197085, 'lng': 17.58055436970849}}};ChIJLVOePOTrRhMRK5olI81eXtE;45;12;388 306 2471;;1;2483;x
Casa Claudia;Via Aleardo Aleardi, 27, Torre San Giovanni;{'location': {'lat': 39.8933968, 'lng': 18.1071488}, 'viewport': {'northeast': {'lat': 39.8947265302915, 'lng': 18.10851793029151}, 'southwest': {'lat': 39.8920285697085, 'lng': 18.1058199697085}}};ChIJHVdC_g8BRBMRGxFZiKUUAMM;48;12;334 319 5925;;1;2483;x
Casa Cocò;Via Mazzini, 2, Tortora Marina;{'location': {'lat': 39.9106833, 'lng': 15.7712229}, 'viewport': {'northeast': {'lat': 39.9119904302915, 'lng': 15.7725159302915}, 'southwest': {'lat': 39.9092924697085, 'lng': 15.7698179697085}}};ChIJ_xjJGgLfPhMRAZZ6wrpkFpk;;;329 486 3607;https://www.casa-coco.it/;FALSO;2483;x
Casa Coleò;Via Costantino da Monopoli, 2, Monopoli;{'location': {'lat': 40.9542702, 'lng': 17.2907688}, 'viewport': {'northeast': {'lat': 40.9556442302915, 'lng': 17.2920730802915}, 'southwest': {'lat': 40.9529462697085, 'lng': 17.2893751197085}}};ChIJrzbyQhY1RhMRGPoFhf9w1rY;5;1;;;1;2483;x
Casa con giardino affacciato sulla Baia del Carpino;Via Emilio Pezzotti, Baia del Carpino, 1, Scalea;{'location': {'lat': 39.8294088, 'lng': 15.7788226}, 'viewport': {'northeast': {'lat': 39.8307340802915, 'lng': 15.7802022302915}, 'southwest': {'lat': 39.8280361197085, 'lng': 15.7775042697085}}};ChIJeQanejkfPxMR1ePxccvJAAU;;;338 153 5882;;1;2483;x
Casa Cosimi;Via Giovanni Verga, 13, Castrignano del Capo;{'location': {'lat': 39.8296838, 'lng': 18.3587322}, 'viewport': {'northeast': {'lat': 39.83103133029149, 'lng': 18.3600279802915}, 'southwest': {'lat': 39.8283333697085, 'lng': 18.3573300197085}}};ChIJU0u_BUcKRBMRbZ1esel30OU;;;335 806 0685;;1;2483;x
Casa Cota;Via Delegazione Municipale, 13, Mattinata;{'location': {'lat': 41.7102443, 'lng': 16.0506168}, 'viewport': {'northeast': {'lat': 41.7115985302915, 'lng': 16.05192858029151}, 'southwest': {'lat': 41.7089005697085, 'lng': 16.0492306197085}}};ChIJ2R0LaGaXNxMRrMyGykUJy8g;5;2;350 089 9897;;1;2483;x
Casa Cunaci Bed and Breakfast;Tropea Capo Vaticano,Contrada Schiavello 1, Torre Marino 1, Capo Vaticano;{'location': {'lat': 38.64932659999999, 'lng': 15.844052}, 'viewport': {'northeast': {'lat': 38.6506295302915, 'lng': 15.8453497302915}, 'southwest': {'lat': 38.6479315697085, 'lng': 15.8426517697085}}};ChIJzZ2J6a13FRMRi6fLTOrj1uw;5;16;349 531 0018;http://casacunaci.wixsite.com/casacunaci;FALSO;2483;calzonaarmando@libero.it
Casa Cuore;Via Anfiteatro, 71, Taranto;{'location': {'lat': 40.4707666, 'lng': 17.24008869999999}, 'viewport': {'northeast': {'lat': 40.4720391802915, 'lng': 17.2414152802915}, 'southwest': {'lat': 40.4693412197085, 'lng': 17.2387173197085}}};ChIJq6q6KicDRxMRjvOWjPa4Y2c;5;1;347 053 7943;;1;2483;x
Casa Da Chloè;Via Ludovico Pepe, 16, Monopoli;{'location': {'lat': 40.954216, 'lng': 17.291111}, 'viewport': {'northeast': {'lat': 40.95560638029149, 'lng': 17.2924972302915}, 'southwest': {'lat': 40.9529084197085, 'lng': 17.2897992697085}}};ChIJTWh14p41RhMRwPLbmjKx880;5;1;388 979 4749;;1;2483;x
Casa d'a mare;Via Gioacchino Murat, 15, Torre San Giovanni;{'location': {'lat': 39.8981814, 'lng': 18.0987324}, 'viewport': {'northeast': {'lat': 39.8995546302915, 'lng': 18.1000551802915}, 'southwest': {'lat': 39.8968566697085, 'lng': 18.0973572197085}}};ChIJF50RtSsBRBMRI86sfBa97Kc;5;3;333 372 3506;https://casa-damare.vacation-bookings.com/;FALSO;2483;x
Casa Dante Bed and Breakfast;Via D. Alighieri, 40, Mattinata;{'location': {'lat': 41.7080575, 'lng': 16.0488037}, 'viewport': {'northeast': {'lat': 41.7094013302915, 'lng': 16.0501558302915}, 'southwest': {'lat': 41.7067033697085, 'lng': 16.0474578697085}}};ChIJPRQ9ukCXNxMRQ7vg8V0LKWo;48;10;340 535 2910;https://pugliahotel24.it/casa-dante/;FALSO;2483;x
Casa Dasy - Torre San Giovanni di Ugento ( Le );Via C. Beccaria, 28, Torre San Giovanni;{'location': {'lat': 39.8921396, 'lng': 18.1112986}, 'viewport': {'northeast': {'lat': 39.89348828029149, 'lng': 18.11264688029151}, 'southwest': {'lat': 39.8907903197085, 'lng': 18.1099489197085}}};ChIJqwZGcRoBRBMRmbse6O3ahJE;47;3;;https://berenicastravelexperience.eu/casa-beccaria-torre-san-giovanni-di-ugento-le-italy;FALSO;2483;x
Casa DECO Apartaments;Via Montecucco, Scala 1 - 2 - 3, Santa Maria di Leuca;{'location': {'lat': 39.7988401, 'lng': 18.3491108}, 'viewport': {'northeast': {'lat': 39.80019378029149, 'lng': 18.3504730802915}, 'southwest': {'lat': 39.7974958197085, 'lng': 18.3477751197085}}};ChIJcRUrjMn1QxMRVEL33ojLbc8;45;2;07867 967482;;1;2483;x
Casa degli Amici;Via D.Orazio, 25, Ruvo di Puglia;{'location': {'lat': 41.1156701, 'lng': 16.486461}, 'viewport': {'northeast': {'lat': 41.1169914302915, 'lng': 16.4878592302915}, 'southwest': {'lat': 41.11429346970851, 'lng': 16.4851612697085}}};ChIJSSVKaMELOBMRKFfE7OBz1_c;5;9;350 036 3040;http://www.casarubis.com/;FALSO;2483;casarubis@gmail.com
Casa degli Oleandri;Via Francesco Miceli Picardi, Paola;{'location': {'lat': 39.357479, 'lng': 16.044062}, 'viewport': {'northeast': {'lat': 39.35882478029151, 'lng': 16.0455967302915}, 'southwest': {'lat': 39.35612681970851, 'lng': 16.0428987697085}}};ChIJN0eKZwWlPxMR_wwZuDHaL7U;44;9;320 876 2951;;1;2483;x
Casa dei Minimi;Tredoliche 10, San francesco, n1, Cirella;{'location': {'lat': 39.7132629, 'lng': 15.8131006}, 'viewport': {'northeast': {'lat': 39.7145737802915, 'lng': 15.8144765302915}, 'southwest': {'lat': 39.7118758197085, 'lng': 15.8117785697085}}};ChIJG7UxazEdPxMRovjS0761_J8;;;388 648 9345;;1;2483;x
casa dei nonni;Via Roma, 19, Capurso;{'location': {'lat': 41.0470098, 'lng': 16.9213315}, 'viewport': {'northeast': {'lat': 41.04837678029151, 'lng': 16.92262998029151}, 'southwest': {'lat': 41.04567881970851, 'lng': 16.9199320197085}}};ChIJGxPHr4TBRxMR5YPT33UeFMs;49;18;347 308 0776;https://casadeinonni.wixsite.com/home;FALSO;2483;taninobattista@gmail.com
Casa dei tulipani;Via dei Tulipani, 1, Marina di Lizzano;{'location': {'lat': 40.32592179999999, 'lng': 17.4545973}, 'viewport': {'northeast': {'lat': 40.32723643029149, 'lng': 17.4559043802915}, 'southwest': {'lat': 40.32453846970849, 'lng': 17.4532064197085}}};ChIJt77Tl-DnRhMRoqoi5UmCQh0;;;329 425 5576;;1;2483;x
Casa Dei Venti;Via Dante Alighieri, 182, Bari;{'location': {'lat': 41.121685, 'lng': 16.8654327}, 'viewport': {'northeast': {'lat': 41.1230786302915, 'lng': 16.8667512302915}, 'southwest': {'lat': 41.1203806697085, 'lng': 16.8640532697085}}};ChIJL5249F_oRxMRckOHiYVWgoU;43;80;02 4070 3683;https://gattobiancocasadeiventi.it/;FALSO;2483;x
Casa del Faro;Via Doppia Croce, 1, Santa Maria di Leuca;{'location': {'lat': 39.7981523, 'lng': 18.3595392}, 'viewport': {'northeast': {'lat': 39.7994120302915, 'lng': 18.3608812802915}, 'southwest': {'lat': 39.7967140697085, 'lng': 18.3581833197085}}};ChIJSYVDe4v1QxMRD2-9SPy2te8;;;;http://www.vacanzealeuca.altervista.org/;FALSO;2483;x
"CASA DEL MUSICISTA ""locazione turistica breve periodo """;Via Giovanni Verga, Pulsano;{'location': {'lat': 40.3853586, 'lng': 17.3573093}, 'viewport': {'northeast': {'lat': 40.38670898029149, 'lng': 17.3587388302915}, 'southwest': {'lat': 40.3840110197085, 'lng': 17.3560408697085}}};ChIJmYIu6FDjRhMR6KfDwog7WaA;5;4;340 007 7182;;1;2483;x
Casa del Sol - Leporano Marina;Via Ulivi, 481, Leporano Marina;{'location': {'lat': 40.38937169999999, 'lng': 17.2863353}, 'viewport': {'northeast': {'lat': 40.3906277802915, 'lng': 17.2876749802915}, 'southwest': {'lat': 40.3879298197085, 'lng': 17.2849770197085}}};ChIJbz1Vk8odRxMRIcsHUea5SAA;5;12;339 340 5130;http://casadelsol.it/;FALSO;2483;info@casadelsol.it
Casa del Sole;Via Giulio Cesare, 49, Castrignano del Capo;{'location': {'lat': 39.8356356, 'lng': 18.3593321}, 'viewport': {'northeast': {'lat': 39.8369751802915, 'lng': 18.3606872302915}, 'southwest': {'lat': 39.8342772197085, 'lng': 18.35798926970849}}};ChIJQ4jlsUkKRBMRMpKKe5CPUI8;46;85;331 642 0028;;1;2483;x
Casa del Sole: appartamento a Margherita di Savoia;Via Biliardo, 18, Margherita di Savoia;{'location': {'lat': 41.3752226, 'lng': 16.1494029}, 'viewport': {'northeast': {'lat': 41.3766313802915, 'lng': 16.1507699802915}, 'southwest': {'lat': 41.3739334197085, 'lng': 16.1480720197085}}};ChIJASkAeJ0hOBMRUSAAxpGGgB4;5;1;351 583 952;https://aliastraveltips.com/casa-del-sole-casa-vacanze-a-margherita-di-savoia-italy;FALSO;2483;x
